14942724-2, 16Ckvh6pymGv9YPydvqij2e7mKLiGhrYXYg6Kd4F8ZF7H6oP, 0x0bb483d18627392148919be8173713cd96c4467daba262793b7ae20c694f2e4b, 14942724, 12.85589, 2012, 2023-04-04 20:21:54, xcmpallet, reserve_transfer_assets
14942634-4, 15rETVdaQP2rmVwKpoD3fYonjPQrW7tARC2evWhbLajV35Ts, 0xbb451c036e9ccffd442e4b687c5a3e01401ef0550b6856b715b35ce936b72141, 14942634, 201.0, 2012, 2023-04-04 20:12:54, xcmpallet, reserve_transfer_assets
14942624-2, 1jczyQKTwCabU1cjaBwyDHHSSEENPnDuGxEpyjpM9vjbpM6, 0x426172a01b47ac1f1f5bd3f452350b3975abb72a0f0653efcde24874f34404ec, 14942624, 0.96564, 2000, 2023-04-04 20:11:54, xcmpallet, reserve_transfer_assets
14942453-5, 1kzXmRGafA45CuLEELcdojjJFRDTExwsraw3FiEhnVCGd3X, 0x919dbd89a324c6d2ace67325b73725978fd6c24d68a80fdf1f735e367809f966, 14942453, 1.97857, 2000, 2023-04-04 19:54:48, xcmpallet, reserve_transfer_assets
14942339-2, 143Z5v5oJn2PNEbhKYdNFLx75DBLpdnrdJ2wLew2YCqpj2XY, 0xd2d3a29f453d46a89cf0223a1207b11dc482ed9e0e67cfa7509c728a5d9cd389, 14942339, 2.02, 2000, 2023-04-04 19:43:24, xcmpallet, reserve_transfer_assets
14942168-2, 15aenvAwk2ng7bL7cgCKPy42ApP9h4We1joXKYjmRhtCZZSL, 0x3eb36331124cf31b68eb17a009e261d0c4fe9498379ed02f167c33930f38c0b5, 14942168, 7.5, 2012, 2023-04-04 19:26:18, xcmpallet, reserve_transfer_assets
14942044-3, 1vYC9dziqQmAqoeduwbkaKMXx2FiwhpDhj7gDAPqM3t1Xyt, 0x1b18204b73ffccd3b2187c6e61f1bb33c757eeafad8a7e0131b85b7a170539e5, 14942044, 50.00081, 2030, 2023-04-04 19:13:54, xcmpallet, reserve_transfer_assets
14941810-2, 14bP758SuV63vusMvvMtVqvTxpStuMEZRsniuGzqYNG7dbmn, 0x773f71ce5749250903e33e6b54bea671f89b3877db1f74fffe4ab08ad6219e6a, 14941810, 200.01554, 2011, 2023-04-04 18:50:30, xcmpallet, reserve_transfer_assets
14941052-2, 14TVxgyMaWBLX7NqewnNBgonKcNfLzWwoEwSXTY4abvW7it8, 0xfe8f404966757f732d6de7fa3e156bf225f0ca31f082d5387fc6c2b7b0d1e4d6, 14941052, 1.41554, 2011, 2023-04-04 17:34:18, xcmpallet, reserve_transfer_assets
14941047-2, 13dpYLcSUckr5kb8LfJhDDnWyA7C9wziSS9jF1Aw4uRjTVUj, 0x6a1be7a314442dc639b66961711919e5a0d0f7e9fa7db7676f4c1b66147ac665, 14941047, 8.5, 2012, 2023-04-04 17:33:48, xcmpallet, reserve_transfer_assets
