14931068-2, 13b1wQcZXhWYxjwY9jdJkyJZu5p9TwFEXZnSEBPhca9kaAUN, 0x78e312c4cc97b5bd6290585168be400d4e0ef841f94f1f2f58097524bcdaaa39, 14931068, 0, 2023-04-04 00:55:54, democracy, vote
14931061-2, 153Fz22gxQP8HM8RbnvEt9XWsXu9nR8jxZC2MbQFmuKhN62f, 0x836fe5dccac85489bdbca7f05d987fe8e5fba6afd2acc30f06b0ab8f5da96842, 14931061, 0, 2023-04-04 00:55:12, democracy, vote
14930206-2, 123mL9g3sPNJ32cEF3oA9sUDnbkwuWhJc6tZSeXN5Q1gtyVH, 0xa43ecb7eafb1b4a4090b698d2fa4b48724f4219c4940fba1c5bd443e5f522d57, 14930206, 0, 2023-04-03 23:29:42, democracy, vote
14930127-2, 1BdoL1BP36SZGEKR4iX8ksou2GTnrDd5of99SWK82c3A4aB, 0x697899632758103f7a8840e51b23ee02a9b691e362849dc3ecfc683412d7bb8d, 14930127, 0, 2023-04-03 23:21:48, democracy, vote
14930016-2, 1jZGoE9teJBzaQxNpYgdJnTJ3a8rUsy7Ws6X3JcwHWTrsgf, 0x98204a37cebb729d22a4a8be7a6da724e303a02e140cea5ddbcc79c86f3431ed, 14930016, 0, 2023-04-03 23:10:42, democracy, vote
14930012-2, 18zLxNjoSpuQDFz9eSf3cLoZrPXM1dJrkwfYq6sWqLSfFD3, 0x7f7b99a5d537633a58a9c4850a6b07dd8a98c006b7daaa3a4573c48a7cf6c90a, 14930012, 0, 2023-04-03 23:10:18, democracy, vote
14930006-2, 16euDe2owvJq7LkwSujGxAFezCWopCKPENxwc2EKdzYTRBae, 0xb9ce16b5ac4b58fe2b87572f86463013be374452254ea09084030e5992a1781d, 14930006, 0, 2023-04-03 23:09:42, democracy, vote
14929245-2, 15ohhQmNAtdEcWggRWUgXNA2Miad5eQD7dqUyV1kgkjsw416, 0xfade64c839e87ad3bbf2910958fd48e8c6fd4c00216e4ff7180a52f55f97483d, 14929245, 0, 2023-04-03 21:53:36, democracy, vote
14929148-2, 126gTJ1q3eJE8fFVjCqkfmz7KKr9g6rZSARXE2yeT1PRpFzj, 0xb685f4d7d1354a3de1e73bc07d1fe72869aa5c672f23f38ffe8cc4d46c905819, 14929148, 0, 2023-04-03 21:43:54, democracy, vote
14929052-3, 13rkfSaFsMEFJAV1wcQcnbJnxiigJTb78qkkLSEvUNPA2QVZ, 0x7e50b183589234bf42c45703850fd442ecd998186b1980ff1e9664c79fa5be24, 14929052, 0, 2023-04-03 21:34:18, democracy, vote
14928761-2, 16UvTJteZiHfoGjzMK5fAxwZd3wkbsFb2C1SKsMLCtxRhNWv, 0x0a44c4fb7365cc7e9c90b43f435b88b1e408faffbad6eb2f903625dfe9a43e28, 14928761, 0, 2023-04-03 21:05:12, democracy, vote
14928676-2, 152QidDC4QrtMCyRGiQmvrNyjntvMg2XouCSdoPSeqUNTvsq, 0x51675f7fb2bf56021862824ed86507d9504fbb64d2e48ff6b9a1f22862b1007f, 14928676, 0, 2023-04-03 20:56:42, democracy, vote
14928582-2, 12rzQ71xTtH7ijHkxhiVvwQhxVnZLz8mriWWQ2PgjpV8Gt5h, 0x9df2ec225ef15e7cfecc7946391246e8553024ec6bc6dad56cd591d9e00697e9, 14928582, 0, 2023-04-03 20:47:18, democracy, vote
14928222-2, 14EPwyWL3xjHSqZLkXkft2XwoMgsdVHn95Uxx41pBozKyG4X, 0x3b1940d0433da2434a3d8c411d8aaa2eb92caf13dbb5b76f9cfb0ad80cd6f0fd, 14928222, 0, 2023-04-03 20:11:18, democracy, vote
14927772-2, 13BddRqwpJ2nPNJwK4cREZw1Q5ad4Et6nhGRG3qPE3yEYW2c, 0xe090b2f8239082de1fd995ba4e9681bc91255dc25dad2dc607d6a72dea0f43e7, 14927772, 0, 2023-04-03 19:26:18, democracy, vote
14927600-4, 13QnxZm35tMqe9K36u4n4kHBXmgnPfLQvmow4uMh1kFvsqFs, 0x9c370de9487eaa9ce140e517257b48acef31258490f40e53249c456e957c2e24, 14927600, 0, 2023-04-03 19:09:06, democracy, vote
14927565-2, 14dFXZvxk19NKgXNfm7HEDTLzGmBotMGDT1Cq9PTYjziiaqS, 0x4d41f009fc9463ef3e0c7ba90349e4c13ab48a0e0e5cc18fe8258587b7f508d5, 14927565, 0, 2023-04-03 19:05:36, democracy, vote
14927520-2, 14dFXZvxk19NKgXNfm7HEDTLzGmBotMGDT1Cq9PTYjziiaqS, 0xf9ac128fe3f382330ff2fdc3caf548863c365eadd5d4b25f49dd4c873fa43252, 14927520, 0, 2023-04-03 19:01:06, democracy, vote
14927268-2, 13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA, 0x04094cfa1f39ada402079f1af2c0c1bbeec699305a9da1c7e4e253da265f03b4, 14927268, 0, 2023-04-03 18:35:54, democracy, vote
14927149-2, 16YDNKXkjPASrQZz5yKHcixnh75imWEwLGf2EQLxvbjz3xbU, 0x71ced1ecc4c6498d04bbfc19f858d8844a7947e830c47c71adcfd8bb33aee5dd, 14927149, 0, 2023-04-03 18:24:00, democracy, vote
14927147-2, 1LQa8MWn9y6WsJJ2o11qeu76hPUGmXWffEVxPYqdkqLVR8k, 0xfd95fe946f2c089f846b04503a7ebc599908f50b2ce389c860d500771b3b1532, 14927147, 0, 2023-04-03 18:23:48, democracy, vote
14927143-2, 15tfUt4iQNjMyhZiJGBf4EpETE2KqtW1nfJwbBT1MvWjvcK9, 0xac5bf67f0e874530668cb41d6e230f746c359298f7d61859afdeb316855d8011, 14927143, 0, 2023-04-03 18:23:24, democracy, vote
14927132-2, 12gPFmRqnsDhc9C5DuXyXBFA23io5fSGtKTSAimQtAWgueD2, 0x497354d4c8c4259f392e98d511b05d6b291eba1011c22a3dc8c608ccd73f3b8a, 14927132, 0, 2023-04-03 18:22:18, democracy, vote
14927121-2, 1LQa8MWn9y6WsJJ2o11qeu76hPUGmXWffEVxPYqdkqLVR8k, 0x6f2920e82c8ee7bb142aabb81c558f6a817733e550999c2ca712e6dfb2b7b236, 14927121, 0, 2023-04-03 18:21:12, democracy, vote
14926982-2, 1cFsLn7o74nmjbRyDtMAnMpQMc5ZLsjgCSz9Np2mcejUK83, 0x817ca116290a956de81de8989edf07ebb492e2d9d4db04f7636784f487c00c24, 14926982, 0, 2023-04-03 18:07:18, democracy, vote
14926630-3, 16aBJu1BMQge6U1uZtukeie3YEiCyqTzHkXpbyDpG7KrvM7g, 0xdb4b1aaa201e583262ff8a0759c782d2e26522b60acc033c7ea757ea5e3ff38f, 14926630, 0, 2023-04-03 17:31:54, democracy, vote
14926590-2, 13YHMha1gLfCrWcycydLP3ExoFS4HZu4y6ekJ9HhUYGUcr3A, 0x082f5f230c63a64ca0ed6b3d6f97a6653981ad8e2d614e6c9c18bc2b2e3ac3c7, 14926590, 0, 2023-04-03 17:27:54, democracy, vote
14926523-2, 1eGtATyy4ayn77dsrhdW8N3Vs1yjqjzJcintksNmScqy31j, 0x48cd1e9b729cd2de5a29c2d812d4eac03e231fe58400a9552a825f0c51710c7a, 14926523, 0, 2023-04-03 17:21:12, democracy, vote
14926461-2, 16ccn3xe5tAeR8kvzCRTcqHZjMJHvuF2pnLfTqyF1EmMusCU, 0x39c69521efa91d7fb346de4bd404388dabf9367ac37efe3f78279ac7d1c08305, 14926461, 0, 2023-04-03 17:15:00, democracy, vote
14926137-3, 12H9FfSYdQ4GrKc7tdxK8U6DitAZMqfnhB8gtHwd2rpCiZfN, 0x0011395f68b8e0908e178e4442477bf3b01e91f5bf374314c49b787119bc02bd, 14926137, 0, 2023-04-03 16:42:36, democracy, vote
14926132-3, 13ogHzWQksuwuw4dv6jph1GHGBxjSP8qzwRJzT69dhnhYEv2, 0x3ecba64b36bf718e7acda92fccc6de6cab669267209be818dd1471e550d0e72a, 14926132, 0, 2023-04-03 16:42:06, democracy, vote
14926127-2, 16SSTPeD2UW3hhnuRBS6HjpxhzRFBrRf2Wupxf1iJgMkhBSD, 0x50d20a5a5b4636d5754e782990d4e18ea428af550c3c602d0c0e8a16a43b4ec1, 14926127, 0, 2023-04-03 16:41:36, democracy, vote
14926082-2, 13ujCsf3t2YAdAhcpcEFVoJAPRYzMLHUHEnLroQp41sJCSnm, 0xf34a49b1dca335f0a65c907bebeed9d967533765eb85ec29c0d9ebc17bf324d6, 14926082, 0, 2023-04-03 16:37:06, democracy, vote
14926052-3, 131Qzz7SvHUn7zdDAt2jFZmzVsP2KkoiDWLZa9N7FivGTXpB, 0xea34c03297da33900c00ac5f8c682da06746189f16f93e576af1c3ba690345a7, 14926052, 0, 2023-04-03 16:34:06, democracy, vote
14925827-2, 14d2kv44xf9nFnYdms32dYPKQsr5C9urbDzTz7iwU8iHb9az, 0xc78dd4d0232deda624ff8da80b979d85f6651d28cc5870909997d8aa406b9668, 14925827, 0, 2023-04-03 16:11:36, democracy, vote
14925711-2, 158NkaT3ANECkPTqaYbcTvBeQ8VBRGewP7kASN5kRiFKo6Zg, 0x832d2e767aed968bb4ae196dd0a818880efc1dcd78ec8f0745db4fb7820bc107, 14925711, 0, 2023-04-03 16:00:00, democracy, vote
14925449-2, 12jZDB1QiwffAdADz7r2tBALX3rAWQjqvE3PRuNmQXsd9pnw, 0x6a728601605d01040b88582f110b894049b615a419e812eae7c9681048087920, 14925449, 0, 2023-04-03 15:33:48, democracy, vote
14925349-3, 129LBt5T1eYtnGHbPYeiiMdmWfokCiiq7z6JBfjnYifiombz, 0xc03c6a1d84790797113e427636836826145601aaefe8f3b07d42e296d3fd8cd2, 14925349, 0, 2023-04-03 15:23:48, democracy, vote
14925327-2, 16Y3FmTiJ3ZYAUZrf5rZtxrQJzcHsDBdscpu2zgMD2xN6NY7, 0x39c149c59c274461e1d963e857a469b30466c66309a71af1c235893cce303bfa, 14925327, 0, 2023-04-03 15:21:36, democracy, vote
14925217-2, 16Jh21ThTh2tW98NuN2gM7Q3KaYiuJLbxCNbuBkFpwcDkRqx, 0x12166f4f1af6ad228ba27dcc8a4fa861f0e7b203fbdb270ad5f0742ed4b4f599, 14925217, 0, 2023-04-03 15:10:36, democracy, vote
14925166-2, 13mdEPcL8qgJuMkgpqeP4dvMgyRJSSNGSB5Px6G1eZHYJ2SB, 0xd0604d814a57bca5200c29b3bb1db6ed464d92e865d3c0e0cd9c667e7279ecbf, 14925166, 0, 2023-04-03 15:05:30, democracy, vote
14925015-2, 1EheUmzB58Y26i8hse4EJo9ffG3M5qmhHzrFXJMQLkY9HoX, 0xb22fc22142db17ca463e20e4f20b3fca6c14af0fab6a2eaa181989be3f75a929, 14925015, 0, 2023-04-03 14:50:24, democracy, vote
14924697-2, 16frLykgLH5w8pNsvzEMTzCESMpLqWJMr4SGJUJQgYniDzdb, 0xe8a6d48f696d5afac07f85457c8582ada3b28d883d3f8c80f55a10e9292f07ca, 14924697, 0, 2023-04-03 14:18:36, democracy, vote
14923851-2, 16Ar9KjX2LQf2CdTrTxbyxPjDNswhL7qPhnwcr8ocMynBRWo, 0x7fcf8bcbd0901b41746a8451fb197ff9e0b1029100567196551bded61558cc36, 14923851, 0, 2023-04-03 12:54:00, democracy, vote
14923228-2, 136cgMVW8FeEdLAJmcLMd1CTo3QVZcheyQu1bA3fC9KXTqVe, 0xf9d45aadd121a65b2ed8002d9a67b1bbf83e515febc3592a0ce0e4af44b22218, 14923228, 0, 2023-04-03 11:51:42, democracy, vote
14923118-2, 1qjNXPh99ExYXmuqHgmvfmmwjjka1M21jaVDPddZtKZhzKH, 0x4303f1081ba7f913973a6715e1b699539b0eac304db718f7f081faf17f62c88d, 14923118, 0, 2023-04-03 11:40:42, democracy, vote
14922483-2, 16XxKGBRWSCQZwrpgcnzE1HqcYC3xJBcSJrM1pRazfmuSrio, 0x3bef108fc0c4f532207f4ac4184f898ae24ad49e5d96c00f4796f36b44e88172, 14922483, 0, 2023-04-03 10:37:12, democracy, vote
14922161-2, 12b843A8c1w4CnHNkLJxtAyMe6AjiiKvZqJ7R6kD66phq4eu, 0xf262712c93cae76f9a0eff933eac9ee834c7a0e037d0cfa06485b4f43b888152, 14922161, 0, 2023-04-03 10:05:00, democracy, vote
14922146-2, 16iiKwFsRKRsjAiEpD4zgNgEX84nzHtHHNFKXhz1sHtan3ne, 0xdcd02481804aabbf31bac4ebb6a06c4c38e3a03a4d504b7bcde6d3122dab8bf0, 14922146, 0, 2023-04-03 10:03:30, democracy, vote
14922141-2, 16SDUqoRr6f8DAyKhYWvo9dwFPdJHeFXFr1may1vhomqqPTQ, 0xef224cb00b1c3c1a274c0d987cb5c0bed14b214dd224da79547ca2737e47124d, 14922141, 0, 2023-04-03 10:03:00, democracy, vote
14921819-3, 19Rcwhs74vEujRs1FvGnSmo1S9T4ec6vAZbTSFQ5vZeuPcT, 0xdbda42d3235a96216a4dc2d1ee7b8cf74b0e428348cad5a50a126d4e50ec14e5, 14921819, 0, 2023-04-03 09:30:48, democracy, vote
14921489-2, 15PPJX7PvSbN7k6FSVZ5wnjWiMcf3swyRu4rzBZMnuhP7Koj, 0xb185765e7d68190ccec8f51b6fcaafafd01bcb38b93c7720de31e47fae228738, 14921489, 0, 2023-04-03 08:57:48, democracy, vote
14920689-2, 1UQC7Vs4zbywp8CbxcCCRUyyRqeUZxq9aXeD8UZ3MpLUy12, 0x1a36506045d93a338fbf6227d7243fe2e427627d80bfb7090bda31f5cf8cded8, 14920689, 0, 2023-04-03 07:37:48, democracy, vote
14919818-2, 15ZvLonEseaWZNy8LDkXXj3Y8bmAjxCjwvpy4pXWSL4nGSBs, 0x52843dd1f4a539e92cc5feb72e97e97ad58b7d928863a0b4d2f06751e5f8d56d, 14919818, 0, 2023-04-03 06:10:42, democracy, vote
14919813-2, 15ZvLonEseaWZNy8LDkXXj3Y8bmAjxCjwvpy4pXWSL4nGSBs, 0x446cb0a94c1179c04b9e0b73a042cde6521a6c8cd05e6d70cd9ec8bdf9c08ae6, 14919813, 0, 2023-04-03 06:10:12, democracy, vote
14919740-3, 15wepZh1jWNqxBjsgErm8HmYiE21n79c5krQJeTsYAjHddeM, 0x7ae9792bd21a127859d795e310ae51063cd639285c3ee86c000dda9d7cbca392, 14919740, 0, 2023-04-03 06:02:54, democracy, vote
14919676-2, 16CdHjb4nxVwF6uwmPm6A29pc4ubnLiY7UqasMxt7cT9BcoK, 0x198ff7534763d663462e43eceb5bc89b6e841fcbc265dfea7638413bd05b8ae2, 14919676, 0, 2023-04-03 05:56:30, democracy, vote
14919220-3, 12R2eXcE2QhMa9BkMsWktt9wmoxbgiQBDG9YUM1p94r2F5UD, 0x2bc3355e4bb7cebe765e26644c132d7889fcc8743d5e4c2d8b50a21f79a01682, 14919220, 0, 2023-04-03 05:10:54, democracy, vote
14919216-3, 13mjnUDrHwYGATFB1FkFkZ1U3kYFsAQfHYTdcc8p3HP1xzZA, 0x2192a04418c1d9340b0c4d819f84f225764e0413b6e45ed83d67c54ff7f74c51, 14919216, 0, 2023-04-03 05:10:30, democracy, vote
14919190-2, 152QidDC4QrtMCyRGiQmvrNyjntvMg2XouCSdoPSeqUNTvsq, 0x7159ea2f126c8840a5a421ba1e0f49164b1061e8bff3cd126563d43f2da0ebe7, 14919190, 0, 2023-04-03 05:07:54, democracy, vote
14919045-2, 131Qzz7SvHUn7zdDAt2jFZmzVsP2KkoiDWLZa9N7FivGTXpB, 0x6d3eec1ede4f2d14bccc96378d90b2cb84eb5cb074993eaf4d51bc6071780848, 14919045, 0, 2023-04-03 04:53:24, democracy, vote
