14927973-2, 147yBsd848u9FVzcaiJjdFF92H4mPPFCVSKFstR2gbytjuxf, 0xc2b77d4b654512dabec070a14bebd64c10f9a4b4cf128e3fb84309ae5167f391, 14927973, 4070.0, 2023-04-03 19:46:24, staking, bond
14927669-2, 156keZwouf35nN1sZjkkpVrawMFcn58dPnovhuts9g3WQh5z, 0x623c9f482884a44d079c879dbe05a4ceb244de728c50a9d8257fd204abe8725f, 14927669, 867.0, 2023-04-03 19:16:00, staking, bond
14926710-4, 12XZxzcMs5HJEr7sHuCAoc4BkXvbamyhxc8Ld65L1FrmeCe2, 0x3f26ee8d5c121ddf18dc1052f1673678b260954c5f2fa9f7f1c4e16ece614968, 14926710, 269.0, 2023-04-03 17:40:06, staking, bond
14926655-2, 1iGyL1Htda8ebv6RnS1fNLh5S5jTyPC5jh1NywFS2SutxbL, 0x17e1f297e30cfa980a047fd7858ba4e3487ef28df63c5ee5d4177127520493fe, 14926655, 305.46871, 2023-04-03 17:34:24, staking, bond
14926582-2, 16AB82bNHCkxgW7Gw3y8HghN37uC6pRcQKi29cdKBx7Sj17Z, 0x39623e2466330f5e5935b03d6527a679a0469c55c23fdcdd590f45133518f71c, 14926582, 300.42921, 2023-04-03 17:27:06, staking, bond
14926480-3, 125oDCrPekcEFdztCAihVdCoM5ibKWzdwZqmq8ZdGD5Ykhwo, 0x0ae1ffb8ee57042fb074d813f0b083f560c985f1aced3b157928855b251707b4, 14926480, 2290.15519, 2023-04-03 17:16:54, staking, bond
14925596-2, 13jM9Wr9qcJLY4cMp53dj3yxesHBvp2xJ2VirSw4sMGhTpAk, 0xf51975223633e004f9ca9dadc00d079b3a23188713d90bcc3482e7f0bbd5e21d, 14925596, 368.0, 2023-04-03 15:48:30, staking, bond
14925384-2, 14N37eRgGoApQGdnWZKXbRTrhKCkKYyVN5FJi8sVL9ewxMzi, 0x73c6ba587c587d6c73337a0c1e58ffe4162843839d1708ab853028b2f6beb9da, 14925384, 884.01534, 2023-04-03 15:27:18, staking, bond
14924379-2, 14rBKbnRfNkrQK4ZGTw9YeR3ThD4HDTJGFjgRjaxFzSHsavz, 0x676df223a6e5d05b6bbba3996f458edc3de461568e39fe9bae511b5977cd7a90, 14924379, 3129.16582, 2023-04-03 13:46:48, staking, bond
14923953-2, 14zjEDXVCcpFjuKPcTMusrgT8DKfUwyQK2ps4AGZdNgYH8V5, 0x1ccc0835561c1c44dfd9c16d9b8ec2ef537bb1ed113a762c4c6d760dede0421c, 14923953, 838.0, 2023-04-03 13:04:12, staking, bond
14923909-2, 1m6oJdauNM4XYMZZ8Tk8NHr8JZQ19YParLsqq911iPwXDhX, 0x52d861225d15a62f61a5bccb394f8bdd4a1c46cc5f3034a3b77f1fd68f9e04f9, 14923909, 1500.0, 2023-04-03 12:59:48, staking, bond
14923265-3, 1jxKsHtZwg7X8HAMdBRL2k96UVn4RLk3DynWhkUC27AycLb, 0x838da49e03952f47ade1796d8db839f6e66229f34cdcc04afd680453edab20cd, 14923265, 250.0, 2023-04-03 11:55:24, staking, bond
14922979-2, 1V6ab8MU9yXttR3kje5sa37KDFUy9mZtepENNAYySWbQzzX, 0x21b8f8631d329822885d2ada9374c8bf1e954dc1924080d92b1f51bc645a217b, 14922979, 250.0, 2023-04-03 11:26:48, staking, bond
14922306-2, 13XherQBZr4ZwitnBHCsEK3yJscMkDD6pXXueh4U4E4s681M, 0x4ad409de9c059d8479ba9da87ae527391f8bc0eaa28ee0461d114e59e9921075, 14922306, 1000.0, 2023-04-03 10:19:30, staking, bond
14922302-2, 1HDwRBaFak6ArkjkYoPpWaWLE5s6kXuZciU3tJa7T5WWZ1L, 0x95e7168cad7d093f019be8f5becd39e3e39aa457f142bd7af4c6831526d99b11, 14922302, 999.0, 2023-04-03 10:19:06, staking, bond
14921901-2, 1gdiQyE6H5SNBkUmMHxBX2ybQShGiyk6anKsyvvMqZV9cpj, 0x1ddc16da89cfa7edca907a401c1fd3baea00a4230b2de04bde4025dd4bd83dd8, 14921901, 3.8, 2023-04-03 09:39:00, staking, bond
14921571-2, 16fJ92jtp2bRHagLfqmJ8H2ncktZzhpoSGSnu541ChqHs4er, 0xf1526fd7be703d79acdadb41d9520a4672f5bf351b943615e64d039a1fb68f91, 14921571, 363.0, 2023-04-03 09:06:00, staking, bond
14920849-2, 13zRYycV1hwACeh8NJMCtQa8q1cpuZM17C2AqkZJ18bcLErS, 0x9b491349ff36b554871eca4b44a46dcc21b15bba2ff95be7603e371db127c827, 14920849, 500.0, 2023-04-03 07:53:48, staking, bond
14920829-2, 12byvn3nvyq6hkaB4pzrCBUGBNwxZZmxmbzmw4WAeVhggzC7, 0xf17bf5f8ce0c77259f3c62bd488980f49c4f4ebad389f04ac581ea726a6cc578, 14920829, 440.0, 2023-04-03 07:51:48, staking, bond
14920187-2, 12DWAam9TGW3sRptX3czCTk5GivLyvT81MNAV7dSUBPnK76P, 0x8a4ca69ac129b4adc1b45dd0383cce53e60a1788464551647cc2a2f4263f2de5, 14920187, 490.0, 2023-04-03 06:47:36, staking, bond
14920123-2, 1SffKza1Ffs7QKH8ndW8U9FrkZtesP9JSh4kcmYQX7FfYHz, 0x598d50482070d345ad698eba8318a6570cc9d0a1b7e4fa6667c262e24e6da075, 14920123, 1500.0, 2023-04-03 06:41:12, staking, bond
14920066-2, 15uVXY5GJtEgKQAnxh6UX6CPr9exrAcgu9UtYVt2C9E68C4H, 0xe3d3aaabfb4d55a221cc618214d4a33db7032c58c605c948b9d90342aff3765e, 14920066, 500.0, 2023-04-03 06:35:30, staking, bond
14920024-2, 15yZ4YHfLoSmuLEprDwDvDRdxksvYnRC4ap6sFL99YNvPRyr, 0x018608d56c9295e0209e222581b64e32f6ac6ade6313f77c2ec90a8407b9cded, 14920024, 3000.0, 2023-04-03 06:31:18, staking, bond
14919500-2, 124bAMKneZ88qfTLhJWydm3DsjVRPkVgLT1ngV1SKWyg8Rhy, 0x3d5a7b068093c7e29f2b5538bc3ddaf9f07bada2bb1f84762a18138ab2911c98, 14919500, 1033.0, 2023-04-03 05:38:54, staking, bond
14919444-2, 16YSxL8ZxWY4SKYXBtPM1pGYN8ackCpjhjNbDPZWc3onFnXE, 0xcdb9e8a001192c8d8734f4a7f14ce7befd22f9f143286e5ea3876ccfd2da04ed, 14919444, 564.33851, 2023-04-03 05:33:18, staking, bond
14918790-3, 15oj4rbBr8WmsyRZDmKjFAmvvJUuCh3s7o2v7q7QvzwfGPCr, 0x98a98604b76bec518209fb0bd7cfdfd2341289463ac08f99da9c957b480a3ba3, 14918790, 708.66527, 2023-04-03 04:27:54, staking, bond
14918768-2, 152GeFRvJSYUBdp3yPFNkVEhy7tm8GfLSBjtVwcWY3yE6fCE, 0x6e346dd5428de5be13e626dcad7f6cb8fafc391c47f1cf858ddf149c39ee521e, 14918768, 300.0, 2023-04-03 04:25:42, staking, bond
14918697-3, 12CWEyUHEtx5bbVoD1WsjMbD9EeXSCx6rJCsbMqpP9Bgbhex, 0x6224c8b6734652c976baee4ac68d444c51febcce28b81ef3469efc92d07bbc17, 14918697, 595.0, 2023-04-03 04:18:36, staking, bond
