17016764-2, DXkvQAjWqzUxpmykqg87x5U5ND9rEDzbtsUvMZyzBrUrh84, 0xf27e8a0552470c289ce2195999e5807c506729f078efc17c6c720b8af2602b6b, 17016764, 7.0, 2023-03-13 15:29:00, staking, bond
17009218-3, D5G1wMD9kbuvuMMg4j1yv6PwGv4c17pV1jAKGbsDKjci5Kk, 0x8314fb03d1b51ff627af5442febf73d6ce24197eda9983e5c823ca93d9ddd2b2, 17009218, 59.19338, 2023-03-13 02:53:06, staking, bond
17000138-2, Ge5sU1AYyerYTGDaw2EhKsyC6sATgFZNCYkbqi4W4i4Ewdo, 0xae9daeba59ffee18f0b9f5d744ca638d3a18190f1eada834b8d90ca07cebaccf, 17000138, 99.8, 2023-03-12 11:43:24, staking, bond
16999570-4, CvXBm7MyPUZTCMBcehhhzxwSAvqKH76jouYqG5P2GNHZKRu, 0x67b1aa0da224ac02dadc0d801ce1b7f75bcbbdd8ccef7bfb45f7c030feb0e0fd, 16999570, 11.0, 2023-03-12 10:46:30, staking, bond
16988639-2, EzSzQytXDdpWUvGwAqwKr1qKHEr2XhhvrEfeWidSbZNohCF, 0x05e5846f1e1df871729f264cb212d5f7645f7212976dfdbc516315da548a8657, 16988639, 34.0, 2023-03-11 16:31:42, staking, bond
16980329-6, D8Re7kcEnTStz5YsRT2pXnbPU3oXf2ppKA244qVgH3mvhkn, 0x649dbd9814ac9003290fa5cb422481671baf270b903783367278f244efc5d2ed, 16980329, 33.0, 2023-03-11 02:34:06, staking, bond
16978285-3, GK6Ev1MGfSbyvBDU3BZqzaTgoj1SiG3aZQdpNMb1GvXSq2j, 0xfac0b6c02628c038b1b6a27183969d750aff80902bc678f6a38f2092a3a9cac9, 16978285, 0.30907, 2023-03-10 23:07:06, staking, bond
16972792-4, Gfwy4tGZvCnKmwQDE1tHjGPNY2LDqezW6bPY4mYMrrjiWnE, 0x79dfb5f8a98a01e4e473c6b5cd838503be27aa39d60d1131e9058d2df1f064f8, 16972792, 10.0, 2023-03-10 13:51:42, staking, bond
16972579-2, D2S7Qa6oPYAaJeX7vciJFUCDqBHBkHBfBCGbpm7bog8bBMZ, 0x855213250f27eb027c318cf1cf5467e7603439ff5e7c91fa42f5c68821fb8be7, 16972579, 10.0, 2023-03-10 13:30:24, staking, bond
16967307-4, FaSWAqehAz1FJpC7SUAve8SbvihoSHSzkN36Aei7pENpAtS, 0x3f36d1c832cee8ebfd67d203810158a753040806b90c537b7707d9d6d9730f6b, 16967307, 17.95, 2023-03-10 04:42:36, staking, bond
16962186-2, EvUk8miQ7EhUiXEhwiv7mKK8Mnr9bpYT1bFiZAHxqX1w61K, 0x462e0615fa8565cc0d1b70aa7cbdeeaa4310c791109f0309d39b9819e3cb78ae, 16962186, 22.0, 2023-03-09 20:08:30, staking, bond
16950589-5, DmUMMk4qwW3uMTJ3csVHaR89WoASV6ZVsazSbdWPpQe3w4d, 0xff754093525e9f434e0bb95c2d7286a8b665b97c4223c93803253f15f7fe99ac, 16950589, 5.6, 2023-03-09 00:46:48, staking, bond
16949684-2, EiHsCZ6hTwR6XGCHozJ5cSzG4fVM3nHwxqE6sQ6Uq7eWN3A, 0xcc7b1713bf249f077e4d7b2d0119f092bc3e15ceabc775b83729080695ceaca2, 16949684, 20.9, 2023-03-08 23:16:06, staking, bond
16948376-4, EPdQqBtUW19k4h8iM9sCJhABBJVeGEFjwHD9WFembxMYSQn, 0x13e9b2bdc406020b24bc9d7c9451c4b25ed9f93357dab94ba0d9ca221f11943f, 16948376, 2500.0, 2023-03-08 21:04:48, staking, bond
16943714-2, G77ddqr7ZhUQ6jXpwG1KFpdCHjgqYVy4bwhrYUhcvdz1ZR8, 0x25b997d8952675569b6378f71569afba47ac1d83234efbfb8778f891330793fd, 16943714, 5.73413, 2023-03-08 13:17:24, staking, bond
16937932-2, HfJnvoAfgBSTz9jyn9gsvX3CbK39JCQZFbzrizmH6xAfKr4, 0x8b7ef4ed5ad0a6f16685c4123efd20f1acce2be72cb2f885551e673475715aa2, 16937932, 27.5, 2023-03-08 03:37:36, staking, bond
16933858-3, G2sTsvLN251E7mrRyj2nqe7xQL1hdkqsngunKLypRHtzVXY, 0xf7f7427846aa4bbbccc4f62fdad9ca7b5e1551206f071e019f3da1505df6184f, 16933858, 5.5, 2023-03-07 20:49:24, staking, bond
16928548-4, FP3j1VMtEGRwLHeSwv9VJbAPskePHTAbfwJ68NoXxm5uoEQ, 0x26c755693856c617126f4c632c6cdcd0319d6e93446b823434d6930b55f5c229, 16928548, 61.0, 2023-03-07 11:57:12, staking, bond
16919030-4, Fce8yjDPDziv6Zs9qVczfEuCQcNnxRDXU9Tk3yy2dSmnzCL, 0x3023412197d99e01173c3e472a5d0e8c4fba24a792833b0d8989fd116a7c3d98, 16919030, 80.0, 2023-03-06 20:04:06, staking, bond
