3900493-4, 0xc35816c8e615f49254bcf44bcede94efdaf43b1b, 0x70be2a078a79d050339d0807d4272bcb1779c62942e98c65bfba3d58db0b3482, 3900493, 4.8, 2023-03-26 15:39:24, balances, transfer_keep_alive
3900421-4, 0x0a6e57652cefd1cb2862b5fcf76c58be673cc4aa, 0x89aae93505e912764e9cf2c46ff8558b8970b719c92811c3cdd9feee540ccf00, 3900421, 4.44, 2023-03-26 15:24:54, balances, transfer_keep_alive
3896965-4, 0x2140177263eed40b40f8d33916f04cbd9a7af915, 0xbe378f543cb4b22be8039b42e8c4651f53a95ca4df1d4cfffc75201314bbb8a3, 3896965, 11.5, 2023-03-26 03:41:24, balances, transfer_keep_alive
3893342-4, 0x026eb0ed486b68abd18cc91710abae5c25d0f6a9, 0x27a9324f25580c83d091647526add69c4ba6cda02ebaf99fc5cf3799d9b3dae5, 3893342, 9.8, 2023-03-25 15:18:54, balances, transfer_keep_alive
3893296-4, 0x37006dd9d226425c901c5d7f9434c2fb8ac3f533, 0x493bb27ef8383bf53d5f27928396039231b064c4d3bb8527b6e050d77c7cce9a, 3893296, 20.0, 2023-03-25 15:09:18, balances, transfer_keep_alive
3889667-4, 0x3efc795c754c9d7c89a4a36ae6bddea610f49a23, 0x2ceaa3f81e27863595fa7e70d16440fa21c3871917204f1a92f53b8613626d49, 3889667, 8.4, 2023-03-25 02:47:24, balances, transfer_keep_alive
3888241-4, 0xaa011f68bbfe45c0ea35761d96b39322da93a5dc, 0x590adef422e4b2e370c1be89ff6369d84a2fdbe368ea22fd18d5101ea2ad9c4f, 3888241, 112.0, 2023-03-24 21:55:36, balances, transfer_keep_alive
3888239-4, 0xb15f8d5c222c5998451f34882e3da4ad5c2b3165, 0x3f66ea8ab92fcc1e9135b1d7b542db76fd27da664b6a31df2418210dd3bf13a3, 3888239, 113.0, 2023-03-24 21:55:12, balances, transfer_keep_alive
3888225-4, 0x2ac328cb3a4aeada14290b5caf4e8406863d83bf, 0x3c472136280368661e2154588761081a77e99c0310d354b2111e17b2c4e2f875, 3888225, 111.0, 2023-03-24 21:52:12, balances, transfer_keep_alive
3888224-4, 0xb2a1df7b59e8b9d2cc56ebde2c6679b254543976, 0xfd70335479e9158aa7b413c96c91c803921da2bbfa7da5ff572e0cba5813add9, 3888224, 108.5, 2023-03-24 21:52:00, balances, transfer_keep_alive
3887712-4, 0xf51b0e3309c95c3220642205f4de21031c7a1371, 0x7c1719ed1d3be2f23fcfc1e7d20b07eff791bd6c0fbc0f0971105ce84b194c02, 3887712, 5.9, 2023-03-24 20:07:30, balances, transfer_keep_alive
3886106-4, 0x5c9eba3b10e45bf6db77267b40b95f3f91fc5f67, 0x3386c77c12dca93ee22f8c6b8b0e334ef57fa4e90b756e49c4e7d15f7425231e, 3886106, 0.001, 2023-03-24 14:40:18, balances, transfer_keep_alive
3886097-4, 0x5c9eba3b10e45bf6db77267b40b95f3f91fc5f67, 0xfcb588135abff9a08a3103a63f3c75da5acc3074371524ecbd0d29943ffdd24b, 3886097, 0.1, 2023-03-24 14:38:24, balances, transfer_keep_alive
3884824-4, 0x1c0dcf044d8c822223d6b89654d01315ebe7fe23, 0x49ef4ee67e64b0c5cbdc2c4eb37316dea3d99f30b27b5fa3ccf1b178f2a243b1, 3884824, 4.0, 2023-03-24 10:18:18, balances, transfer_keep_alive
3880818-4, 0xb4110b3a9c825fc877692a835ce2ad00eec2fa55, 0x1605e4741f1692f1e9a5363fed3b38c59d32b8955dfe9ba943a3aeae6299ce9c, 3880818, 102.0, 2023-03-23 20:40:48, balances, transfer_keep_alive
3879421-4, 0x5c9eba3b10e45bf6db77267b40b95f3f91fc5f67, 0x403a570b678e1e81bf34bdb5728a448d0bd1ec568c91db0e4894da5c6a2b3a53, 3879421, 0.001, 2023-03-23 15:57:24, balances, transfer_keep_alive
3879218-4, 0x5c9eba3b10e45bf6db77267b40b95f3f91fc5f67, 0x21dd07c20623abdf4b8151a144f18ccbb91548bf650624f754af05e482f1df1d, 3879218, 0.001, 2023-03-23 15:16:12, balances, transfer_keep_alive
3877893-4, 0x2140177263eed40b40f8d33916f04cbd9a7af915, 0xfe7084a9a8ce2a42bc98df09572ba63cc52cb9f9468a3e55ff080093ec1d20f9, 3877893, 10.0, 2023-03-23 10:45:48, balances, transfer_keep_alive
3875424-4, 0xc2d7cc2df8da68613afb47c412984de551111a8a, 0xaba72a3f509698cf138e9fb34ab6e1396f1bbaedd82a9ebc9337b0b55cf8fe65, 3875424, 100.0, 2023-03-23 02:22:54, balances, transfer_keep_alive
3875032-4, 0x0a6e57652cefd1cb2862b5fcf76c58be673cc4aa, 0xbec171655ffd35a66f1e6d310b32accf7749956b87589127c2716cf8ed03cbc8, 3875032, 1.95, 2023-03-23 01:03:00, balances, transfer_keep_alive
3875016-4, 0xc35816c8e615f49254bcf44bcede94efdaf43b1b, 0x6c4494a5835d6eb764a62189b57977d4063d78b6ffabb78963b3747156aad5a1, 3875016, 4.4, 2023-03-23 00:59:48, balances, transfer_keep_alive
3874578-4, 0x3efc795c754c9d7c89a4a36ae6bddea610f49a23, 0x83b93c325165d31ef530e57e576db534cef79da133c1a54cb3dc878616605b16, 3874578, 10.5, 2023-03-22 23:31:06, balances, transfer_keep_alive
3874281-4, 0x23ba3f683cdd1733b193ebbc965311a2a882e0c3, 0x986b2669b1aa133dc58df0b154604be7bf75a06dc9bbc17a432274eb9b7aa66a, 3874281, 0.01, 2023-03-22 22:30:48, balances, transfer_keep_alive
3873156-4, 0x59fe59853fd70fb7991585165165a0fd004bb98e, 0xed9127115d4bf69d149bf57a037b636dceff3ef53a0e7dfc2e5614e692faed52, 3873156, 14.5, 2023-03-22 18:42:54, balances, transfer_keep_alive
3867968-4, 0x8dc3640432fc4cdb77bc1c74aca1fc3da49c28e1, 0x5fd4689b9f5d71791f1446dfa84020f8854748eed1444cbea20765d99e2a5286, 3867968, 1.1, 2023-03-22 01:05:12, balances, transfer_keep_alive
