3214928-2, p8CQCFZ1hZpRG4NGhtqKJRMsAaTjtQqC95BLnEXyfLdHsG3wU, 0x81e8c545b04779543fc0a68da9ba04d7d1b91c8f7902971e74a077150d19a0af, 3214928, 39.3, 2023-04-01 22:05:00, balances, transfer_keep_alive
3212823-2, p8FpthtzSRLWbgLBZryfKRFHSyU4SUKNZ28Bhbfsm2JCc4isB, 0x7fb240e569dc4f5e31dbed983e263e11a2a799a5e261579d9061be99d7e703ad, 3212823, 24700.0, 2023-04-01 14:58:42, balances, transfer_keep_alive
3212797-2, p8FpthtzSRLWbgLBZryfKRFHSyU4SUKNZ28Bhbfsm2JCc4isB, 0xba5383dfcef1c93345a6b451a03a66950ec3396f7496dd4c429a00e81cc7c11d, 3212797, 100.0, 2023-04-01 14:53:30, balances, transfer_keep_alive
3212788-2, p8CMQV7Usq8TTUxacktrQXM8u3Qm5Nncy4RK5FWBV5rEeJpty, 0x12636fc5f0bf526112cbce0e1955b0efffbbf9bf602b01d0fc8fbc3c6901ac49, 3212788, 24800.0, 2023-04-01 14:51:42, balances, transfer_keep_alive
3212717-2, p8FpthtzSRLWbgLBZryfKRFHSyU4SUKNZ28Bhbfsm2JCc4isB, 0xb5797626bb831cfc73d0b204061dd4747123a41c33d7bfd6cfafb629c1759dec, 3212717, 3.0, 2023-04-01 14:37:30, balances, transfer_keep_alive
3211503-2, p8GfCzX6XMt349cNkFQtbYp6BZ5iRUCJWAaiXka5fTiWnVUDi, 0xea9c086c938886207eebfc5e33517fdcb5659dd6d6a2b621e5450ad92fdc7808, 3211503, 27.39757, 2023-04-01 10:33:12, balances, transfer_keep_alive
3211496-2, p8CrQtx5GMxc57eXhwRH39drhUHBoPC9WGcPkbf7XrNzWL3qp, 0xc777decab681e534cccf3573ddfc636314acc7a992567d2968bfc62691ebbbaa, 3211496, 133.53088, 2023-04-01 10:31:48, balances, transfer_keep_alive
3211103-2, p8GeFZLRrfJBmaQjmgWsDc4Dqkjr6QeamNGBzs26ijrPAjyci, 0x7770e0bd9d2438cf0c2d380c761cc812373782dda0f569ea7c8639286d8eb09e, 3211103, 100.0, 2023-04-01 09:13:00, balances, transfer_keep_alive
3210740-2, p8CQCFZ1hZpRG4NGhtqKJRMsAaTjtQqC95BLnEXyfLdHsG3wU, 0xeac8a26aea1537c1af0977daac91748b52bade06c29c2322aa3c36bd2f019be7, 3210740, 93.6, 2023-04-01 07:59:18, balances, transfer_keep_alive
3209741-4, p8DyrXWT9uvY4GUyaftoujwGTp9dVKZAn7UjbkiLEF31pwE67, 0xc28ddcbb2d27d48335b370d690cd93dc976055dd112074b3a47e1d8c6d0c241d, 3209741, 1300.0, 2023-04-01 04:38:12, balances, transfer_keep_alive
