2671811-2, 4e4vgnxHpVVdpRxMuZAxbJ4ybjf9cT3eq9mVJwUuBDHuiZCr, 0xddb5d92a12dd29ee99964c1d348a99e5da79d44a1fdaa743ef7df28dea130f61, 2671811, 0.01, 2023-04-05 10:48:48, balances, transfer_keep_alive
2671662-2, 4cfqgXwUW3hcWNZnBLrARanCbq3nAA4yro43SpuZGe4FaE7g, 0xa1f39478322d80873cce712d2429a9dca2198466bd78ac3ba9a7affefad9ad65, 2671662, 0.01, 2023-04-05 10:18:36, balances, transfer_keep_alive
2671516-2, 4e4vgnxHpVVdpRxMuZAxbJ4ybjf9cT3eq9mVJwUuBDHuiZCr, 0xe98a68a146cbe3664fea92ce4f9a5e4c3f0b744d90ace52c5ca5660b7a13a937, 2671516, 0.01, 2023-04-05 09:48:54, balances, transfer_keep_alive
2671486-2, 4d7Cj6PJrHEjk61axVbZSs7DRJ6KnDzD8twHQgkwPU3Fc4Xx, 0xc532d21a4afd86b4ec024bc16b174ac3fa5ed1c17d73c234c41ab370e1fd9b13, 2671486, 0.4427, 2023-04-05 09:42:54, balances, transfer_keep_alive
2671483-2, 4d4ygd89nUT2bd7WwhoCsSsVftEBxztUva9V8hcCGXt266LK, 0xcba68af1df0d97359c7db5e72706e7c81a9f4f20d86d29b52117f3e4cc6aae62, 2671483, 0.01, 2023-04-05 09:42:18, balances, transfer_keep_alive
2671366-2, 4cfqgXwUW3hcWNZnBLrARanCbq3nAA4yro43SpuZGe4FaE7g, 0xe5479f3cd9927809a857ade8fb5c73ea55514263dc75ef2581dfb02906ad3699, 2671366, 0.01, 2023-04-05 09:18:30, balances, transfer_keep_alive
2671218-2, 4e4vgnxHpVVdpRxMuZAxbJ4ybjf9cT3eq9mVJwUuBDHuiZCr, 0xd80ce5e9021f72117c031cb181904dbf7951eb78ebc98af9944d249ba547100d, 2671218, 0.01, 2023-04-05 08:48:30, balances, transfer_keep_alive
2671156-2, 4d7Cj6PJrHEjk61axVbZSs7DRJ6KnDzD8twHQgkwPU3Fc4Xx, 0x4ab269572a852103d7508c5993dfa8323b624c2442f0b0b0548300d60b620223, 2671156, 0.597, 2023-04-05 08:36:00, balances, transfer_keep_alive
2671153-2, 4d4ygd89nUT2bd7WwhoCsSsVftEBxztUva9V8hcCGXt266LK, 0xadb50583ddc70beb398fde965dac90f083cd677544e843c08c0b51cae849539c, 2671153, 0.01, 2023-04-05 08:35:18, balances, transfer_keep_alive
2671072-2, 4cfqgXwUW3hcWNZnBLrARanCbq3nAA4yro43SpuZGe4FaE7g, 0xa0de398ad9e2a70fc7ee1f26143ba81821b43e45091fd0bc17afb9cfa4d8c9d9, 2671072, 0.01, 2023-04-05 08:18:54, balances, transfer_keep_alive
2670920-2, 4e4vgnxHpVVdpRxMuZAxbJ4ybjf9cT3eq9mVJwUuBDHuiZCr, 0x90450f69bbd4413896d234403828ff17acc9121458b5f31e87537c1225d6493d, 2670920, 0.01, 2023-04-05 07:48:24, balances, transfer_keep_alive
2670774-2, 4cfqgXwUW3hcWNZnBLrARanCbq3nAA4yro43SpuZGe4FaE7g, 0xbe7c69f7da9a0dca959cd16e33e78441fba786a01e8682512bafd6652bf1ef2e, 2670774, 0.01, 2023-04-05 07:18:42, balances, transfer_keep_alive
