14934440-2, 16VqtBobPPtsGwLqdTxVBZ5mP9YfXGox7Tg3ox2sXzeKnjMj, 0x8a321ab8431ee88c8b51eec26437b9c3a287002adca763c506d9fc5419510a1f, 14934440, 10.0, 2023-04-04 06:33:06, balances, transfer_keep_alive
14934424-2, 12LjF54PGnFsztVCrAo8P6MrYeLEevGSBYXMJYEhcPk4znL8, 0x5acfb677d2614437e5211f343527e5f82da42bc8b943d2aa8bf1813fe7cb61ca, 14934424, 999.94033, 2023-04-04 06:31:30, balances, transfer_keep_alive
14934416-2, 16d3mDAbv9Jx6g7JSWKGL2kX3zx7VW6XvhZq1283CtL6fQSw, 0x2c4c03a0e08a469c72c557a7218812f7bbd89ab5c7bc1f9b6ae25bbf013e91c5, 14934416, 145.79678, 2023-04-04 06:30:42, balances, transfer_keep_alive
14934408-2, 12nN6e4vWGdnftXGLcgNmd83Jdno2GByJkf2XyQat7s1UZLJ, 0x366465b18c4f76092da33c78f5b74091a61e65c955b417c8276ad0b48738b600, 14934408, 25.64084, 2023-04-04 06:29:54, balances, transfer_keep_alive
14934389-2, 15W8VuusPWyRKxvyP2SgCe4hqKHreq9cAZNpLAykh63uX85c, 0x4e4329d42bc9970f33a81d650044f4b66fbce8d809aa1ef8f797ec7c9619461a, 14934389, 28.44378, 2023-04-04 06:28:00, balances, transfer_keep_alive
14934348-2, 1CUKKQhuqcbqXSY4QhWZxFct5uTKbWVCMKMUBHqWyc8ds1c, 0xc95172386d39907169b301145851db99143fc033e07799ba512df7b31ab044e4, 14934348, 600.0, 2023-04-04 06:23:54, balances, transfer_keep_alive
14934339-2, 16NSWEKZHTcJkTay5ccdPhH5nsvJzBqECXxSKWyftFJEcvKR, 0x01ed0047b12382931f6bf382f34fd6f36cf846e618c23999250dd5a7c14c140d, 14934339, 96.52462, 2023-04-04 06:23:00, balances, transfer_keep_alive
14934333-2, 14wyGZFwVBwHCnDZd14yr8Jkx8kGjBvJmJcS1JCoYsAR5tn5, 0xb9ab65428936bd5e852fef6d5905e805e98272fc58e20483a2213fc296b03adb, 14934333, 11.17989, 2023-04-04 06:22:24, balances, transfer_keep_alive
14934328-2, 12nr7GiDrYHzAYT9L8HdeXnMfWcBuYfAXpgfzf3upujeCciz, 0x61acec79a2ccd422b826a9f6384f0aef5c6eaf71fe4469f95c6c03031e668441, 14934328, 3.00307, 2023-04-04 06:21:54, balances, transfer_keep_alive
14934306-2, 1fPRPdZtoBDaN1ZJ9c6XmhHKnSTD51Cpc8dgiBuCmxGLTET, 0xebbac306161f3464cad817fe44f9edf7f142beb572fdd5b0615e1765b29807a8, 14934306, 5079.96406, 2023-04-04 06:19:42, balances, transfer_keep_alive
14934302-2, 148fP7zCq1JErXCy92PkNam4KZNcroG9zbbiPwMB1qehgeT4, 0x99848cbe101a5f152fc9a4c41c392fa34982be0d826632439cffa97d41712247, 14934302, 20.059, 2023-04-04 06:19:18, balances, transfer_keep_alive
14934291-2, 16dHJaVf2GX6xUSJ2u8z5KhpfxQDkc27YgiKEy2wWXxRnX3i, 0x7acec1b5bd3534d23e01aba254bbb0c1bab49f79fb8b842b0559d102ad3a3d93, 14934291, 3.5, 2023-04-04 06:18:12, balances, transfer_keep_alive
14934255-2, 1381hiLdJ42j3LPFX9UL2RT7PpGww4FH22rGdWWSsWp7KgZu, 0xf3416462e5bfc9ed310400785c58b75b33b22bae7e70c3ac5ed03bb4c4f488ea, 14934255, 1.98416, 2023-04-04 06:14:36, balances, transfer_keep_alive
14934248-2, 12k6zoi7L6Jd2oCVek7Zktj8CHY2yoY6nxZThDZK7mdWP6Sr, 0xfacce5bb114fe85d02b692917914b46e9345bdc54f684acbfd036b86b75ca9e6, 14934248, 3123.98, 2023-04-04 06:13:54, balances, transfer_keep_alive
