3028248-2, bXie3KQvQPp7QsmBb7QUzHfzgGZg6iVgAfLSpqW1NyaqzKByy, 0xded5c9ee2732e4b28ae5caa27a5f36239d7026333dd1345328acfc3e7d3a9d88, 3028248, 1035000.0, 2023-03-26 03:13:48, balances, transfer_keep_alive
3020680-2, bXie3KQvQPp7QsmBb7QUzHfzgGZg6iVgAfLSpqW1NyaqzKByy, 0x112d3462da9030bbc3f2ec94948945f0af979a474d7fe09f835a61f043eed5ec, 3020680, 1250000.0, 2023-03-25 00:24:48, balances, transfer_keep_alive
3019879-2, bXkKMMndmGVHshuEDsgzpzeYtk4qGoqdkkf8znB2m77vM3QmJ, 0x6e5f30ff685e69a7be34cefc1ba4ec9418c1d06474b0aacd27c0b0325670ecfb, 3019879, 2.0, 2023-03-24 21:37:54, balances, transfer_keep_alive
3019081-2, bXmAkKeYevEFjmxKsC9Q8wgiFCNsHrRvAYMwDsteSErtEUpth, 0x45c1b6bef9b55f6ae8dcd04f6d7d86e0a301c0fd0805622b4a01ca833f63cfed, 3019081, 6.1, 2023-03-24 18:51:42, balances, transfer_keep_alive
3019076-2, bXmAkKeYevEFjmxKsC9Q8wgiFCNsHrRvAYMwDsteSErtEUpth, 0x9d690ab1007ccaa7329ffc2d7dc4837f57b8ab7addb64dbb587118e809fd336f, 3019076, 32130000.0, 2023-03-24 18:50:42, balances, transfer_keep_alive
3019038-2, bXie3KQvQPp7QsmBb7QUzHfzgGZg6iVgAfLSpqW1NyaqzKByy, 0x45d74fbbd402f9eafd3c01a5dba0aaffbe3227d163d47eef59800c41ad2a5c94, 3019038, 1006000.0, 2023-03-24 18:42:42, balances, transfer_keep_alive
3018622-2, bXie3KQvQPp7QsmBb7QUzHfzgGZg6iVgAfLSpqW1NyaqzKByy, 0xf5a59a0a423ac1bb98e96168b4fbe5c65db00fab57be1dda70614bd44eede7b1, 3018622, 1010000.0, 2023-03-24 17:16:48, balances, transfer_keep_alive
3016534-2, bXidt9FsvgKT9r33JSKFrxGDQVgLBTiPZR9yj2CUu6a5m5DrN, 0x34cafe3494141ff7e6664b9387d47f14d3cc831dd3aeec923c41d91feeef7747, 3016534, 1078000.0, 2023-03-24 09:56:48, balances, transfer_keep_alive
3015423-2, bXh9BGrp5UsiAjE2anzFTEwLKeqUP2ESpzQ2q27gtM4BZUhZn, 0x503b329620ee84506e728f4e409a2cc513847fa14420142cd14c0b8a64f885d5, 3015423, 1.0, 2023-03-24 06:05:54, balances, transfer_keep_alive
3010936-2, bXiy5HdfGAtdAnAdDu2dwuckzXkeSZsDYEF1rSxUyueruNMD6, 0x9508a0e628164d79f575c91b35a70f505ec317020cef0d677a763d7b2e0a929b, 3010936, 430780.0, 2023-03-23 14:19:42, balances, transfer_keep_alive
